"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"more_compensation","haven_labelled",1768,496,2.65950226244344,0.975367346812783,1,2,3,3,4,4,"3"
"more_compensation_updated","haven_labelled",1723,541,2.63784097504353,0.972924029065995,1,2,3,3,4,4,"3"
"hormone_reasoning","haven_labelled",1532,732,1.52023498694517,0.785387744667565,1,1,1,2,4,4,"1"
"hormone_reasoning_updated","haven_labelled",1532,732,1.52023498694517,0.785387744667565,1,1,1,2,4,4,"1"
"no_blood_sample","haven_labelled",1653,611,2.58318209316394,1.11282760015623,1,2,3,3,5,5,"3"
"no_blood_sample_updated","haven_labelled",1679,585,425.250148898154,2012.11266543139,1,2,3,3,9998,6,"3"
"trust","haven_labelled",2264,0,2.50485865724382,0.717173514637397,1,2,3,3,4,4,"3"
"mental_origins","haven_labelled",2264,0,3.0702296819788,0.871260960262376,1,3,3,4,5,5,"3"
"medical_origins","haven_labelled",2264,0,3.61616607773852,1.00450780747943,1,3,4,4,6,5,"4"
"concern_mental","haven_labelled",2264,0,2.63736749116608,1.02838175204953,1,2,3,3,6,5,"3"
"concern_medical","haven_labelled",2264,0,2.98321554770318,0.967743614044754,1,2,3,4,6,5,"3"
"disorder_importance","haven_labelled",2264,0,2.14664310954064,0.960398928296261,1,1,2,3,4,4,"2"
"feedback_mental","haven_labelled",2264,0,2.31316254416961,1.164159075346,1,1,2,4,4,4,"1"
"feedback_medical","haven_labelled",2264,0,2.30962897526502,1.04133528787189,1,1,2,3,4,4,"3"
"genetic_knowledge","haven_labelled",2264,0,2.31183745583039,0.72510768584316,1,2,2,3,4,4,"2"
"a23and_me","haven_labelled",2264,0,3.23189045936396,1.19567224999193,1,2,3,4,5,5,"3"
"medical_condition_1_1","haven_labelled",50,2214,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_2","haven_labelled",476,1788,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_3","haven_labelled",938,1326,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_4","haven_labelled",1021,1243,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_1","haven_labelled",58,2206,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_2","haven_labelled",389,1875,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_3","haven_labelled",732,1532,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_4","haven_labelled",1246,1018,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_1","haven_labelled",125,2139,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_2","haven_labelled",677,1587,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_3","haven_labelled",955,1309,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_4","haven_labelled",813,1451,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_1","haven_labelled",1,2263,1,NA,1,1,1,1,1,1,"1"
"medical_condition_4_2","haven_labelled",83,2181,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_3","haven_labelled",566,1698,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_4","haven_labelled",1642,622,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_1","haven_labelled",713,1551,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_2","haven_labelled",796,1468,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_3","haven_labelled",546,1718,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_4","haven_labelled",903,1361,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_1","haven_labelled",80,2184,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_2","haven_labelled",291,1973,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_3","haven_labelled",297,1967,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_4","haven_labelled",1700,564,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_1","haven_labelled",899,1365,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_2","haven_labelled",808,1456,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_3","haven_labelled",468,1796,1,0,1,1,1,1,1,1,"1"
