"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"spirtual","matrix",2000,0,1.25195210101681e-16,1,-1.63213920798362,-0.707676331753874,0.216786544475877,1.14124942070563,1.14124942070563,4,"0.216786544475877"
"religious","matrix",2000,0,-7.82815652577984e-18,1,-1.11904143237863,-1.11904143237863,-0.286730958314941,0.545579515748748,1.37788998981244,4,"-1.11904143237863"
"organized_religion","matrix",2000,0,4.84399304521987e-17,1,-0.661420141701461,-0.661420141701461,0.162266211600483,0.162266211600483,5.10438433141215,8,"0.162266211600483"
"highesteducation","factor",1580,420,NA,NA,NA,NA,NA,NA,NA,10,"Four-year degree"
"highest_ed_recoded","factor",1994,6,NA,NA,NA,NA,NA,NA,NA,5,"2"
"highest_ed_recoded_currentcoded","factor",1986,14,NA,NA,NA,NA,NA,NA,NA,4,"1"
"current_student","matrix",2000,0,1.29076382828636e-16,1,-1.89016043004924,0.475497179524276,0.475497179524276,0.475497179524276,2.84115478909779,3,"0.475497179524276"
"current_ed","matrix",420,1580,-7.62217360161006e-17,1,-1.97584749038813,-0.527582314187405,0.196550273912955,0.920682862013315,1.64481545011367,6,"0.920682862013315"
"employed","matrix",1580,420,-3.8945228239586e-17,1,-0.490675254619215,-0.490675254619215,-0.490675254619215,-0.490675254619215,5.33839919875191,3,"-0.490675254619215"
"hours_employed_1","matrix",1220,780,-3.47936154203016e-17,1,-1.1448287771185,-0.132094259815443,0.0125820997992804,0.0125820997992804,33.577497530415,56,"0.0125820997992804"
"industry","matrix",1221,779,-1.5741862441322e-16,1,-1.99162970827398,-0.554739866335426,-0.054952095226365,0.757203032825859,1.56935816087808,52,"-0.17989903800363"
"major_1","haven_labelled",35,1965,1,0,1,1,1,1,1,1,"1"
"major_2","haven_labelled",27,1973,1,0,1,1,1,1,1,1,"1"
"major_3","haven_labelled",37,1963,1,0,1,1,1,1,1,1,"1"
"major_4","haven_labelled",58,1942,1,0,1,1,1,1,1,1,"1"
"major_5","haven_labelled",3,1997,1,0,1,1,1,1,1,1,"1"
"major_6","haven_labelled",18,1982,1,0,1,1,1,1,1,1,"1"
"major_7","haven_labelled",4,1996,1,0,1,1,1,1,1,1,"1"
"major_8","haven_labelled",13,1987,1,0,1,1,1,1,1,1,"1"
"major_9","haven_labelled",10,1990,1,0,1,1,1,1,1,1,"1"
"major_10","haven_labelled",7,1993,1,0,1,1,1,1,1,1,"1"
"major_11","haven_labelled",2,1998,1,0,1,1,1,1,1,1,"1"
"major_12","haven_labelled",1,1999,1,NA,1,1,1,1,1,1,"1"
"major_13","haven_labelled",4,1996,1,0,1,1,1,1,1,1,"1"
"major_14","haven_labelled",54,1946,1,0,1,1,1,1,1,1,"1"
"major_15","haven_labelled",3,1997,1,0,1,1,1,1,1,1,"1"
"major_16","haven_labelled",5,1995,1,0,1,1,1,1,1,1,"1"
"major_17","haven_labelled",2,1998,1,0,1,1,1,1,1,1,"1"
"major_18","haven_labelled",2,1998,1,0,1,1,1,1,1,1,"1"
"major_19","haven_labelled",21,1979,1,0,1,1,1,1,1,1,"1"
"major_20","haven_labelled",0,2000,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_21","haven_labelled",9,1991,1,0,1,1,1,1,1,1,"1"
"major_22","haven_labelled",10,1990,1,0,1,1,1,1,1,1,"1"
"major_23","haven_labelled",135,1865,1,0,1,1,1,1,1,1,"1"
"gpa","matrix",420,1580,6.38027809528715e-17,1,-1.57191073607783,-0.882043955354019,-0.192177174630205,0.497689606093609,3.94702350971268,9,"-0.192177174630205"
"household_income","matrix",1937,63,4.9179595255722e-17,1,-1.74130309314121,-0.605645149903998,-0.0378161782853899,1.09784176495183,1.66567073657043,7,"1.09784176495183"
"mother_ed","matrix",2000,0,-1.69433694505172e-16,1,-1.55667949325403,-0.844403358157244,-0.132127223060455,0.580148912036335,2.7169773173267,7,"0.580148912036335"
"father_ed","matrix",2000,0,-5.97026768300868e-17,1,-1.33833647629121,-0.844576477659518,-0.350816479027821,0.636703518235573,2.11798351413066,8,"-0.844576477659518"
"research_type_1","matrix",2000,0,1.20077071116137e-16,1,-7.18371513618787,0.139134136174893,0.139134136174893,0.139134136174893,0.139134136174893,2,"0.139134136174893"
"research_type_2","matrix",2000,0,8.72913395212616e-17,1,-0.650596496080131,-0.650596496080131,-0.650596496080131,1.53628248234048,1.53628248234048,2,"-0.650596496080131"
"research_type_3","matrix",2000,0,-1.66864677457468e-17,1,-1.45904952232856,-1.45904952232856,0.685035007177039,0.685035007177039,0.685035007177039,2,"0.685035007177039"
"research_type_4","matrix",2000,0,-7.6435114747947e-17,1,-0.597221631447823,-0.597221631447823,-0.597221631447823,1.67358305086329,1.67358305086329,2,"-0.597221631447823"
"research_type_5","matrix",2000,0,-1.22100138159886e-17,1,-0.972138122482026,-0.972138122482026,-0.972138122482026,1.02814608015589,1.02814608015589,2,"-0.972138122482026"
