"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"more_info","matrix",1770,494,1.29199533800655e-16,1,-1.56856849336492,-0.501966021887429,0.564636449590061,0.564636449590061,1.63123892106755,4,"0.564636449590061"
"more_info_updated","matrix",1676,588,2.95769835135109e-17,1,-1.5279112640415,-0.455108885099919,0.617693493841662,0.617693493841662,1.69049587278324,4,"0.617693493841662"
"more_compensation","matrix",1768,496,9.33668243645124e-17,1,-1.70141256816338,-0.676157823612304,0.349096920938771,0.349096920938771,1.37435166548985,4,"0.349096920938771"
"more_compensation_updated","matrix",1723,541,-3.60796746573196e-17,1,-1.68342123959653,-0.655591758439613,0.372237722717305,0.372237722717305,1.40006720387422,4,"0.372237722717305"
"hormone_reasoning","matrix",1532,732,7.01316741435263e-17,1,-0.662392544927439,-0.662392544927439,-0.662392544927439,0.610863890240486,3.15737676057634,4,"-0.662392544927439"
"hormone_reasoning_updated","matrix",1532,732,7.01316741435263e-17,1,-0.662392544927439,-0.662392544927439,-0.662392544927439,0.610863890240486,3.15737676057634,4,"-0.662392544927439"
"no_blood_sample","matrix",1653,611,-7.02408871345601e-17,1,-1.4226660921617,-0.524054303723302,0.374557484715099,0.374557484715099,2.1717810615919,5,"0.374557484715099"
"no_blood_sample_updated","matrix",1679,585,-1.06839115986293e-17,1,-0.210848108153623,-0.2103511180908,-0.209854128027977,-0.209854128027977,4.75756154988939,6,"-0.209854128027977"
"trust","matrix",2264,0,-7.18932832356328e-17,1,-2.09831878412949,-0.703956081673028,0.690406620783434,0.690406620783434,2.0847693232399,4,"0.690406620783434"
"mental_origins","matrix",2264,0,-5.61698136288005e-17,1,-2.3761304320985,-0.08060694233063,-0.08060694233063,1.06715480255331,2.21491654743724,5,"-0.08060694233063"
"medical_origins","matrix",2264,0,5.40999644106393e-17,1,-2.60442582751363,-0.613400984194077,0.382111437465701,0.382111437465701,2.37313628078526,5,"0.382111437465701"
"concern_mental","matrix",2264,0,-5.04577825984315e-17,1,-1.59217867090977,-0.619777130327165,0.352624410255442,0.352624410255442,3.26982903200326,5,"0.352624410255442"
"concern_medical","matrix",2264,0,1.53586336602394e-16,1,-2.04931917805604,-1.01598763704961,0.0173439039568219,1.05067544496325,3.11733852697612,5,"0.0173439039568219"
"disorder_importance","matrix",2264,0,-1.48736842514568e-16,1,-1.19392377038026,-1.19392377038026,-0.152689788815966,0.888544192748331,1.92977817431263,4,"-0.152689788815966"
"feedback_mental","matrix",2264,0,-1.79042771480345e-17,1,-1.12799236116364,-1.12799236116364,-0.269003223701655,1.44897505122231,1.44897505122231,4,"-1.12799236116364"
"feedback_medical","matrix",2264,0,-2.54236789465914e-17,1,-1.25764390251427,-1.25764390251427,-0.297338406631535,0.662967089251198,1.62327258513393,4,"0.662967089251198"
"genetic_knowledge","matrix",2264,0,1.89181785789472e-17,1,-1.8091622547139,-0.430056751457243,-0.430056751457243,0.949048751799412,2.32815425505607,4,"-0.430056751457243"
"a23and_me","matrix",2264,0,7.74160637598007e-17,1,-1.86664067797762,-1.03029108467833,-0.193941491379032,0.642408101920261,1.47875769521955,5,"-0.193941491379032"
"medical_condition_1_1","haven_labelled",50,2214,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_2","haven_labelled",476,1788,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_3","haven_labelled",938,1326,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_4","haven_labelled",1021,1243,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_1","haven_labelled",58,2206,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_2","haven_labelled",389,1875,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_3","haven_labelled",732,1532,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_4","haven_labelled",1246,1018,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_1","haven_labelled",125,2139,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_2","haven_labelled",677,1587,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_3","haven_labelled",955,1309,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_4","haven_labelled",813,1451,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_1","haven_labelled",1,2263,1,NA,1,1,1,1,1,1,"1"
"medical_condition_4_2","haven_labelled",83,2181,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_3","haven_labelled",566,1698,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_4","haven_labelled",1642,622,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_1","haven_labelled",713,1551,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_2","haven_labelled",796,1468,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_3","haven_labelled",546,1718,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_4","haven_labelled",903,1361,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_1","haven_labelled",80,2184,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_2","haven_labelled",291,1973,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_3","haven_labelled",297,1967,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_4","haven_labelled",1700,564,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_1","haven_labelled",899,1365,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_2","haven_labelled",808,1456,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_3","haven_labelled",468,1796,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_4","haven_labelled",829,1435,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_1","haven_labelled",17,2247,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_2","haven_labelled",101,2163,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_3","haven_labelled",194,2070,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_4","haven_labelled",1985,279,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_1","haven_labelled",122,2142,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_2","haven_labelled",460,1804,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_3","haven_labelled",572,1692,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_4","haven_labelled",1385,879,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_1","haven_labelled",231,2033,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_2","haven_labelled",211,2053,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_3","haven_labelled",183,2081,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_4","haven_labelled",1791,473,1,0,1,1,1,1,1,1,"1"
"q1_1","haven_labelled",2000,264,3.9745,0.232113524690338,1,4,4,4,4,4,"4"
"pswq_1","haven_labelled",2264,0,2.54196113074205,1.13980983377565,1,2,2,3,5,5,"2"
"pswq_2","haven_labelled",2264,0,2.94611307420495,1.26362233401768,1,2,3,4,5,5,"3"
"pswq_3","haven_labelled",2264,0,2.31404593639576,1.19870922979564,1,1,2,3,5,5,"1"
"pswq_4","haven_labelled",2264,0,3.04328621908127,1.25208759844874,1,2,3,4,5,5,"3"
"pswq_5","haven_labelled",2264,0,3.10998233215548,1.31203585725289,1,2,3,4,5,5,"4"
"pswq_6","haven_labelled",2264,0,3.28180212014134,1.25744978391135,1,2,3,4,5,5,"4"
"pswq_7","haven_labelled",2264,0,2.89399293286219,1.33125159212706,1,2,3,4,5,5,"3"
"pswq_8","haven_labelled",2264,0,2.55123674911661,1.21597420016152,1,2,2,3,5,5,"2"
"pswq_9","haven_labelled",2264,0,2.81492932862191,1.26047627383249,1,2,3,4,5,5,"3"
"pswq_10","haven_labelled",2264,0,1.77473498233216,1.07539772436619,1,1,1,2,5,5,"1"
"pswq_11","haven_labelled",2263,1,2.67211665930181,1.24403271703837,1,2,3,4,5,5,"2"
"pswq_12","haven_labelled",2263,1,2.93062306672559,1.43717656900065,1,2,3,4,5,5,"1"
"pswq_13","haven_labelled",2263,1,3.12284577993814,1.29404691383184,1,2,3,4,5,5,"4"
"pswq_14","haven_labelled",2263,1,2.7114449845338,1.31585139253031,1,2,3,4,5,5,"3"
"pswq_15","haven_labelled",2264,0,2.66121908127208,1.34784406421793,1,1,3,4,5,5,"1"
"pswq_16","haven_labelled",2264,0,3.20185512367491,1.24979047443795,1,2,3,4,5,5,"3"
"pswq_1r","numeric",2264,0,3.45803886925795,1.13980983377565,1,3,4,4,5,5,"4"
"pswq_3r","numeric",2264,0,3.68595406360424,1.19870922979564,1,3,4,5,5,5,"5"
"pswq_8r","numeric",2264,0,3.44876325088339,1.21597420016152,1,3,4,4,5,5,"4"
"pswq_10r","numeric",2264,0,4.22526501766784,1.07539772436619,1,4,5,5,5,5,"5"
"pswq_11r","numeric",2263,1,3.32788334069819,1.24403271703837,1,2,3,4,5,5,"4"
"miss_items_pswq","numeric",2264,0,0.00176678445229682,0.0514609061499343,0,0,0,0,2,3,"0"
"pswq_final","matrix",2261,3,-1.71482817430238e-16,1,-2.24711228734212,-0.764631091291981,0.00883735882113599,0.782305808934253,1.87805277992784,65,"-0.12007404953105"
"q2","matrix",2000,264,1.38934211391681e-15,1,-16.6009350539228,0.00415127158137743,0.00415127158137743,0.00415127158137743,16.6092375970856,4,"0.00415127158137743"
"hai1","haven_labelled",2264,0,1.51015901060071,0.80315505303807,0,1,1,2,3,4,"1"
"hai2","haven_labelled",2264,0,1.06757950530035,0.834693043642506,0,1,1,1,3,4,"1"
"hai3","haven_labelled",2264,0,1.82067137809187,0.777839496109604,0,1,2,2,3,4,"2"
"hai4","haven_labelled",2264,0,1.04151943462898,0.719065890453963,0,1,1,1,3,4,"1"
"hai5","haven_labelled",2264,0,1.17888692579505,0.902823869335776,0,1,1,2,3,4,"1"
"hai6","haven_labelled",2264,0,0.539310954063604,0.709913802653305,0,0,0,1,3,4,"0"
"hai7","haven_labelled",2264,0,0.72482332155477,0.771671699214928,0,0,1,1,3,4,"0"
"hai8","haven_labelled",2264,0,0.646201413427562,0.787554354514555,0,0,0,1,3,4,"0"
"hai9","haven_labelled",2264,0,0.564487632508834,0.65893525627609,0,0,0,1,3,4,"0"
"hai10","haven_labelled",2264,0,1.06316254416961,0.826528700898303,0,0,1,2,3,4,"1"
"hai11","haven_labelled",2264,0,1.08436395759717,0.859787168091049,0,0,1,2,3,4,"1"
"hai12","haven_labelled",2264,0,0.536219081272085,0.715039509656133,0,0,0,1,3,4,"0"
"hai13","haven_labelled",2264,0,0.841872791519435,0.760663030132593,0,0,1,1,3,4,"1"
"hai14","haven_labelled",2264,0,1.02606007067138,0.657887477276755,0,1,1,1,3,4,"1"
"hai15","haven_labelled",2264,0,1.1780035335689,0.785210334867728,0,1,1,2,3,4,"1"
"hai16","haven_labelled",2264,0,0.985865724381625,0.717666624304961,0,1,1,1,3,4,"1"
"hai17","haven_labelled",2263,1,0.901016349977905,0.880033874839089,0,0,1,1,3,4,"1"
"hai18","haven_labelled",2263,1,0.932832523199293,0.874481163222152,0,0,1,2,3,4,"0"
"miss_items_hai","numeric",2264,0,0.00088339222614841,0.0297153472605291,0,0,0,0,1,2,"0"
"hai_final","matrix",2262,2,1.94684329325628e-17,1,-2.03863891190879,-0.768121356339232,-0.0751117805740218,0.617897795191189,3.96744407805637,51,"-0.537118164417495"
"q1","matrix",2000,264,1.23906986474381e-14,1,-0.0223606797749855,-0.0223606797749855,-0.0223606797749855,-0.0223606797749855,44.6989988702208,2,"-0.0223606797749855"
"altruism_1","haven_labelled",2264,0,2.69611307420495,1.10574880602676,0,2,3,4,4,5,"3"
"altruism_2","haven_labelled",2264,0,1.4160777385159,1.18580027930262,0,0,1,2,4,5,"0"
"altruism_3","haven_labelled",2264,0,2.36395759717314,1.08866715445546,0,2,2,3,4,5,"2"
"altruism_4","haven_labelled",2264,0,2.73012367491166,1.05108272047076,0,2,3,4,4,5,"3"
"altruism_5","haven_labelled",2264,0,2.38118374558304,1.16512104017176,0,2,2,3,4,5,"2"
"altruism_6","haven_labelled",2264,0,3.03445229681979,1.03865048937765,0,2,3,4,4,5,"4"
"altruism_7","haven_labelled",2264,0,2.44832155477032,1.15978300001252,0,2,2,3,4,5,"2"
"altruism_8","haven_labelled",2264,0,2.13206713780919,1.39779384374254,0,1,2,3,4,5,"3"
"altruism_9","haven_labelled",2264,0,1.46333922261484,1.23058625640683,0,0,1,2,4,5,"0"
"altruism_10","haven_labelled",2264,0,2.62941696113074,1.09836194075058,0,2,3,4,4,5,"3"
"altruism_11","haven_labelled",2264,0,1.95803886925795,1.31193469488759,0,1,2,3,4,5,"2"
"altruism_12","haven_labelled",2264,0,2.85689045936396,1.15015657425798,0,2,3,4,4,5,"4"
"altruism_13","haven_labelled",2264,0,2.52782685512368,1.18620866166494,0,2,3,4,4,5,"3"
"altruism_14","haven_labelled",2264,0,2.27959363957597,1.24398992209332,0,1,2,3,4,5,"2"
"miss_items_altrusim","numeric",2264,0,0,0,0,0,0,0,0,1,"0"
"altruism_final","matrix",2264,0,-3.7193498060569e-17,1,-3.12827858833901,-0.657389748030556,0.0078495551294115,0.673088858289379,2.19363583694073,56,"0.102883741295121"
"submissionid","character",2000,264,NA,NA,NA,NA,NA,NA,NA,2001,"666307fb4b9c0330ea9c09bf"
"statusv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,3,"APPROVED"
"customstudytncsacceptedatv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,2,"Not Applicable"
"startedatv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,2001,"2024-06-07T13:15:45.507000Z"
"completedatv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,1997,""
