"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"race_6","matrix",264,0,3.15001799371148e-17,1,-0.38375270638452,-0.38375270638452,-0.38375270638452,-0.38375270638452,2.59597419024823,2,"-0.38375270638452"
"race_7","matrix",264,0,-4.62603193993176e-18,1,-0.208119125712856,-0.208119125712856,-0.208119125712856,-0.208119125712856,4.78673989139569,2,"-0.208119125712856"
"race_combined","factor",224,40,NA,NA,NA,NA,NA,NA,NA,7,"White"
"first_gen","matrix",264,0,-1.71475197914045e-16,1,-0.830472946389776,-0.830472946389776,-0.830472946389776,1.19957203367412,1.19957203367412,2,"-0.830472946389776"
"financial_ind","matrix",264,0,-8.97678330553888e-17,1,-2.58589688502316,-0.223693502164633,-0.223693502164633,0.95740818926463,0.95740818926463,4,"-0.223693502164633"
"support_others","matrix",264,0,-5.46879378771869e-17,1,-0.497648741147102,-0.497648741147102,-0.497648741147102,-0.497648741147102,4.03267083343341,3,"-0.497648741147102"
"spirtual","matrix",264,0,-1.32370407511812e-16,1,-1.87987199210241,-0.798638428017365,0.282595136067683,0.282595136067683,1.36382870015273,4,"0.282595136067683"
"religious","matrix",264,0,4.61239727624747e-17,1,-1.46807652438473,-0.5181446556652,0.431787213054333,0.431787213054333,1.38171908177387,4,"0.431787213054333"
"organized_religion","matrix",264,0,1.33030887869349e-16,1,-0.70345300307631,-0.70345300307631,-0.227269431763115,-0.227269431763115,2.62983199611605,8,"-0.227269431763115"
"highesteducation","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"Primary school"
"highest_ed_recoded","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"1"
"highest_ed_recoded_currentcoded","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"1"
"current_student","matrix",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"current_ed","matrix",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"employed","matrix",264,0,-1.95218814808837e-16,1,-0.8046973833609,-0.8046973833609,-0.8046973833609,1.23799597440138,1.23799597440138,2,"-0.8046973833609"
